row_number_demand,po_number,priority,row_number_supply_combination,is_fulfilled_demand,percent_fulfilled_demand,total_stock_supply_kg,count_farmer,count_processing,count_estimate_harvest_date,total_estimate_duration
19,,20.0,"358, 861",yes,151.94,13000.0,2,2.0,2.0,37.0
19,,21.0,"348, 353, 358, 443, 861",yes,444.13,38000.0,2,2.0,2.0,53.0
19,,22.0,"353, 358, 443, 861",yes,420.76,36000.0,2,2.0,2.0,53.0
19,,23.0,"348, 358, 443, 861",yes,350.63,30000.0,2,2.0,2.0,53.0
19,,24.0,"348, 353, 358, 861",yes,268.82,23000.0,2,2.0,2.0,53.0
19,,25.0,"353, 358, 861",yes,245.44,21000.0,2,2.0,2.0,53.0
19,,26.0,"348, 358, 861",yes,175.32,15000.0,2,2.0,2.0,53.0
19,,27.0,861,no,93.5,8000.0,1,1.0,1.0,12.0
19,,28.0,353,no,93.5,8000.0,1,1.0,1.0,16.0
19,,29.0,348,no,23.38,2000.0,1,1.0,1.0,16.0
19,,30.0,358,no,58.44,5000.0,1,1.0,1.0,25.0
19,,31.0,"348, 358",no,81.81,7000.0,1,2.0,1.0,41.0
20,,1.0,"78, 861",yes,187.85,17000.0,2,1.0,1.0,27.0
20,,2.0,861,no,88.4,8000.0,1,1.0,1.0,12.0
20,,3.0,78,no,99.45,9000.0,1,1.0,1.0,15.0
21,,1.0,659,yes,325.93,16000.0,1,1.0,1.0,16.0
21,,2.0,649,yes,366.67,18000.0,1,1.0,1.0,19.0
21,,3.0,"649, 659",yes,692.61,34000.0,2,1.0,2.0,35.0
22,,1.0,443,yes,305.56,15000.0,1,1.0,1.0,4.0
22,,2.0,"348, 353",yes,203.71,10000.0,1,1.0,1.0,16.0
22,,3.0,353,yes,162.97,8000.0,1,1.0,1.0,16.0
22,,4.0,"358, 443",yes,407.41,20000.0,1,1.0,1.0,25.0
22,,5.0,358,yes,101.85,5000.0,1,1.0,1.0,25.0
22,,6.0,"348, 353, 443",yes,509.27,25000.0,1,2.0,1.0,20.0
22,,7.0,"353, 443",yes,468.53,23000.0,1,2.0,1.0,20.0
22,,8.0,"348, 443",yes,346.3,17000.0,1,2.0,1.0,20.0
22,,9.0,"348, 353, 358, 443",yes,611.12,30000.0,1,2.0,1.0,41.0
22,,10.0,"353, 358, 443",yes,570.38,28000.0,1,2.0,1.0,41.0
22,,11.0,"348, 358, 443",yes,448.16,22000.0,1,2.0,1.0,41.0
22,,12.0,"348, 353, 358",yes,305.56,15000.0,1,2.0,1.0,41.0
22,,13.0,"353, 358",yes,264.82,13000.0,1,2.0,1.0,41.0
22,,14.0,"348, 358",yes,142.6,7000.0,1,2.0,1.0,41.0
